<190>JAN 17 20:40:23 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 20:40:23 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 20:40:23 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>JAN 17 20:45:42 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 20:45:42 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 20:45:43 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>JAN 17 20:46:08 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 20:46:08 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 20:46:08 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>JAN 17 20:46:15 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 1
<190>JAN 17 20:46:15 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=0, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing of UDP socket 2
<190>Jan 17 20:46:15 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=DUMMY_TEST_EVENT, seq_num=29418878, level=INFO, username=admin, system=vbox-ps-01, description=Dummy event for notification testing
<190>Jan 17 20:52:05 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_LOGGED_OUT, seq_num=8823, level=INFO, username=admin, system=vbox-ps-01, description=User 'admin' logged out
<190>Jan 17 20:52:18 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_LOGIN_SUCCESS, seq_num=8824, level=INFO, username=admin, system=vbox-ps-01, description=User 'admin' successfully logged in from IP 172.31.5.232
<190>Jan 17 21:00:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_LOGIN_SUCCESS, seq_num=8825, level=INFO, username=infinidat, system=vbox-ps-01, description=User 'infinidat' successfully logged in from IP 172.20.89.195
<190>Jan 17 21:00:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_LOGIN_SUCCESS, seq_num=8826, level=INFO, username=infinidat, system=vbox-ps-01, description=User 'infinidat' successfully logged in from IP 172.20.89.195
<190>Jan 17 21:06:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=8827, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 21:06:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=8828, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 21:17:14 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_LOGIN_SUCCESS, seq_num=8829, level=INFO, username=infinidat, system=vbox-ps-01, description=User 'infinidat' successfully logged in from IP 172.20.89.195
<190>Jan 17 21:17:14 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_LOGIN_SUCCESS, seq_num=8830, level=INFO, username=infinidat, system=vbox-ps-01, description=User 'infinidat' successfully logged in from IP 172.20.89.195
<190>Jan 17 21:23:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=8831, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 21:23:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=8832, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 21:34:33 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_LOGIN_SUCCESS, seq_num=8833, level=INFO, username=infinidat, system=vbox-ps-01, description=User 'infinidat' successfully logged in from IP 172.20.89.195
<190>Jan 17 21:34:34 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_LOGIN_SUCCESS, seq_num=8834, level=INFO, username=infinidat, system=vbox-ps-01, description=User 'infinidat' successfully logged in from IP 172.20.89.195
<190>Jan 17 21:40:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=8835, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
<190>Jan 17 21:40:00 172.20.68.167 INFINIBOX 30368 172.20.68.167: code=USER_SESSION_EXPIRED, seq_num=8836, level=INFO, username=infinidat, system=vbox-ps-01, description=Session expired (Idle) for user 'infinidat' from IP 172.20.89.195. Client ID: 'infinisdk.v235.0.0.dev3.auto-view.lab.gdc.il.infinidat.com.root.778'
